answer_id,source_split
1.6.1015,train
1.6.1025,train
1.6.1027,validation
1.6.1085,train
1.6.1097,train
1.6.1118,train
1.6.1128,train
1.6.1134,train
1.6.1167,train
1.6.1170,train
1.6.1175,train
1.6.1188,train
1.6.1206,train
1.6.1224,validation
1.6.123,train
1.6.1232,train
1.6.1243,validation
1.6.1247,train
1.6.1277,train
1.6.1282,validation
1.6.1284,train
1.6.1298,validation
1.6.1321,train
1.6.1332,train
1.6.1442,train
1.6.1450,train
1.6.1494,train
1.6.1512,train
1.6.1545,train
1.6.1566,train
1.6.158,train
1.6.159,train
1.6.1597,train
1.6.1598,train
1.6.1599,train
1.6.1603,train
1.6.1610,train
1.6.1617,train
1.6.1636,train
1.6.1649,train
1.6.1656,train
1.6.1662,train
1.6.1671,validation
1.6.1721,train
1.6.1731,train
1.6.1744,train
1.6.1746,train
1.6.1761,validation
1.6.1763,validation
1.6.1774,train
1.6.1791,validation
1.6.1827,train
1.6.1841,validation
1.6.1850,validation
1.6.1854,train
1.6.1861,train
1.6.1870,train
1.6.1878,train
1.6.1889,validation
1.6.1906,train
1.6.1908,train
1.6.1919,validation
1.6.1929,validation
1.6.193,validation
1.6.1933,train
1.6.1937,train
1.6.1960,train
1.6.1995,train
1.6.2016,validation
1.6.203,validation
1.6.2071,train
1.6.2073,train
1.6.2085,train
1.6.2092,train
1.6.2099,train
1.6.2104,train
1.6.2115,validation
1.6.2122,train
1.6.232,train
1.6.233,train
1.6.249,train
1.6.313,train
1.6.318,validation
1.6.324,validation
1.6.337,train
1.6.343,train
1.6.411,train
1.6.415,train
1.6.417,train
1.6.429,train
1.6.511,train
1.6.527,validation
1.6.533,train
1.6.548,train
1.6.55,train
1.6.551,train
1.6.56,train
1.6.567,train
1.6.57,train
1.6.572,train
1.6.596,train
1.6.605,train
1.6.621,validation
1.6.64,train
1.6.653,train
1.6.658,train
1.6.662,train
1.6.671,train
1.6.710,train
1.6.724,train
1.6.731,validation
1.6.733,train
1.6.734,train
1.6.744,train
1.6.762,train
1.6.788,train
1.6.82,train
1.6.828,train
1.6.829,validation
1.6.858,train
1.6.861,train
1.6.874,train
1.6.885,validation
1.6.897,validation
1.6.905,train
1.6.927,train
1.6.943,train
1.6.947,validation
1.6.953,train
1.6.985,train
10.1_TC.1003,train
10.1_TC.1070,train
10.1_TC.1083,train
10.1_TC.1099,train
10.1_TC.1125,validation
10.1_TC.1164,validation
10.1_TC.1165,train
10.1_TC.1251,train
10.1_TC.128,validation
10.1_TC.1316,train
10.1_TC.1318,train
10.1_TC.1337,validation
10.1_TC.1379,validation
10.1_TC.1400,train
10.1_TC.1401,train
10.1_TC.1402,validation
10.1_TC.1407,train
10.1_TC.1408,validation
10.1_TC.1426,train
10.1_TC.146,train
10.1_TC.1472,train
10.1_TC.1496,train
10.1_TC.1534,train
10.1_TC.1553,train
10.1_TC.1556,train
10.1_TC.1557,train
10.1_TC.1575,train
10.1_TC.161,train
10.1_TC.1642,validation
10.1_TC.1734,train
10.1_TC.1741,train
10.1_TC.1765,train
10.1_TC.1768,train
10.1_TC.1772,train
10.1_TC.1795,train
10.1_TC.1857,train
10.1_TC.1868,validation
10.1_TC.1875,train
10.1_TC.1895,train
10.1_TC.1949,train
10.1_TC.1972,train
10.1_TC.199,train
10.1_TC.2050,train
10.1_TC.2109,train
10.1_TC.227,train
10.1_TC.234,validation
10.1_TC.330,train
10.1_TC.349,train
10.1_TC.385,validation
10.1_TC.426,train
10.1_TC.447,train
10.1_TC.451,train
10.1_TC.453,train
10.1_TC.454,train
10.1_TC.476,train
10.1_TC.496,train
10.1_TC.509,train
10.1_TC.513,train
10.1_TC.526,train
10.1_TC.544,train
10.1_TC.702,train
10.1_TC.786,train
10.1_TC.795,validation
10.1_TC.809,train
10.1_TC.855,train
10.1_TC.88,train
10.1_TC.92,train
10.1_TC.952,validation
10.2_TC.1044,validation
10.2_TC.1066,validation
10.2_TC.1146,train
10.2_TC.1285,validation
10.2_TC.1289,train
10.2_TC.1296,train
10.2_TC.1297,train
10.2_TC.132,train
10.2_TC.135,train
10.2_TC.1354,train
10.2_TC.141,train
10.2_TC.1417,train
10.2_TC.1476,train
10.2_TC.1489,train
10.2_TC.1497,train
10.2_TC.1517,validation
10.2_TC.1523,validation
10.2_TC.1565,train
10.2_TC.1574,train
10.2_TC.1632,train
10.2_TC.1665,train
10.2_TC.1678,validation
10.2_TC.1688,train
10.2_TC.1733,train
10.2_TC.18,train
10.2_TC.1804,train
10.2_TC.1821,train
10.2_TC.1826,validation
10.2_TC.183,train
10.2_TC.1833,validation
10.2_TC.1848,train
10.2_TC.1858,validation
10.2_TC.1876,train
10.2_TC.1944,train
10.2_TC.2013,train
10.2_TC.2022,train
10.2_TC.2036,train
10.2_TC.2037,train
10.2_TC.2059,train
10.2_TC.2094,train
10.2_TC.216,train
10.2_TC.237,train
10.2_TC.242,train
10.2_TC.303,validation
