call_id,question_id,condition,framework,feedback_mode,order_variant,kind,status,model_score,max_score,normalized_signed_diff,normalized_absolute_diff,input_tokens,total_tokens,latency_ms,attempt_count,failure_code,failure_summary,teacher_score,teacher_feedback,source_split,selection_kind,answer_id
133916,4.13,amem_full,amem,full,order_1,score,succeeded,1.0,1.0,0.0,0.0,8192,8227,12862,1,,,1.0,Correct,unseen_answers,test,4.13.128
133986,4.13,amem_full,amem,full,order_2,score,succeeded,1.0,1.0,0.0,0.0,8317,8348,13090,1,,,1.0,Correct,unseen_answers,test,4.13.128
134056,4.13,amem_full,amem,full,order_3,score,succeeded,1.0,1.0,0.0,0.0,8486,8516,13285,1,,,1.0,Correct,unseen_answers,test,4.13.128
133917,4.13,amem_full,amem,full,order_1,score,succeeded,0.75,1.0,0.0,0.0,8190,8225,17453,1,,,0.75,But why is oscillating a problem?,unseen_answers,test,4.13.140
133987,4.13,amem_full,amem,full,order_2,score,succeeded,0.75,1.0,0.0,0.0,8517,8553,12789,1,,,0.75,But why is oscillating a problem?,unseen_answers,test,4.13.140
134057,4.13,amem_full,amem,full,order_3,score,succeeded,0.75,1.0,0.0,0.0,8552,8589,17841,1,,,0.75,But why is oscillating a problem?,unseen_answers,test,4.13.140
133911,4.13,amem_full,amem,full,order_1,score,succeeded,0.5,1.0,-0.5,0.5,8124,8160,14509,1,,,1.0,Correct,unseen_answers,test,4.13.160
133981,4.13,amem_full,amem,full,order_2,score,succeeded,0.5,1.0,-0.5,0.5,8431,8472,16348,1,,,1.0,Correct,unseen_answers,test,4.13.160
134051,4.13,amem_full,amem,full,order_3,score,succeeded,0.5,1.0,-0.5,0.5,8426,8466,14877,1,,,1.0,Correct,unseen_answers,test,4.13.160
133915,4.13,amem_full,amem,full,order_1,score,succeeded,0.5,1.0,-0.5,0.5,8311,8352,14751,1,,,1.0,Correct,unseen_answers,test,4.13.186
133985,4.13,amem_full,amem,full,order_2,score,succeeded,0.75,1.0,-0.25,0.25,8609,8652,13623,1,,,1.0,Correct,unseen_answers,test,4.13.186
134055,4.13,amem_full,amem,full,order_3,score,succeeded,0.5,1.0,-0.5,0.5,8697,8740,19150,1,,,1.0,Correct,unseen_answers,test,4.13.186
