answer_id,condition,framework,feedback_mode,order_variant,kind,status,model_score,manual_score,signed_diff,absolute_diff,normalized_signed_diff,normalized_absolute_diff,input_tokens,total_tokens,latency_ms,attempt_count,failure_code,teacher_score,teacher_feedback,source_split
4.2_LM_v1.0.213,no_memory,none,none,order_2,score,succeeded,0.8,1.0,-0.19999999999999996,0.19999999999999996,-0.19999999999999996,0.19999999999999996,201,246,11462,1,,1.0,The response correctly answers all three parts of the question.,unseen_answers
4.2_LM_v1.0.2040,retrieval_no_feedback,retrieval,no_feedback,order_3,score,succeeded,0.75,0.5,0.25,0.25,0.25,0.25,2743,2772,15920,1,,0.5,"The response correctly states the advantage and the disadvantage of frame bursting. However, it does not contain a definition. Frame bursting reduces the overhead of transmitting small frames by concatenating a sequence of multiple frames in one single transmission.",training
4.2_LM_v1.0.694,retrieval_no_feedback,retrieval,no_feedback,order_1,score,succeeded,1.0,1.0,0.0,0.0,0.0,0.0,2277,2307,11298,1,,1.0,"The response correctly explains the definition of frame bursting, including an advantage and a disadvantage.",training
4.2_LM_v1.0.143,retrieval_no_feedback,retrieval,no_feedback,order_1,score,succeeded,1.0,1.0,0.0,0.0,0.0,0.0,2410,2437,10027,1,,1.0,"The response gives the correct definition of frame bursting, including an advantage and a disadvantage.",training
4.2_LM_v1.0.1304,retrieval_no_feedback,retrieval,no_feedback,order_2,score,succeeded,1.0,0.75,0.25,0.25,0.25,0.25,3725,3762,11625,1,,0.75,"The response answers the advantage and disadvantage of frame bursting correctly. However, the definition part is partially correct as it mentions that there are 10 packets to be sent together, which is not true as there is no specification for the number of packets in a frame. Frame bursting is used to concatenate a sequence of multiple frames and transmitting them in one single transmission.",training
4.2_LM_v1.0.388,retrieval_no_feedback,retrieval,no_feedback,order_3,score,succeeded,1.0,1.0,0.0,0.0,0.0,0.0,2967,3014,22056,1,,1.0,"The response correctly answers all three parts of the question with an example. However, the answer also states the 9% efficiency of carrier extension which is only valid in worst case scenario. The efficiency can be better based on how much data we are sending which can vary between 46-1500 bytes.",training
4.2_LM_v1.0.1984,retrieval_no_feedback,retrieval,no_feedback,order_1,score,succeeded,1.0,1.0,0.0,0.0,0.0,0.0,2827,2857,10333,1,,1.0,"The response correctly answers the frame bursting definition, its advantage and disadvantage.",training
4.2_LM_v1.0.1753,mem0_full,mem0,full,order_2,score,succeeded,0.9,1.0,-0.09999999999999998,0.09999999999999998,-0.09999999999999998,0.09999999999999998,531,576,11603,1,,1.0,"The response correctly answers the definition of frame bursting, its advantage and disadvantage.",training
4.2_LM_v1.0.640,amem_no_feedback,amem,no_feedback,order_3,score,succeeded,1.0,0.5,0.5,0.5,0.5,0.5,6833,6883,18410,1,,0.5,"The response answers the advantage and disadvantage part correctly. However, the definition is incorrect as it contains details, such as a maximal burst of three packets and a recommendation not to use it with more than 3 clients, that do not hold for frame bursting in general.",training
4.2_LM_v1.0.1190,retrieval_no_feedback,retrieval,no_feedback,order_1,score,succeeded,0.9,1.0,-0.09999999999999998,0.09999999999999998,-0.09999999999999998,0.09999999999999998,2984,3033,10478,1,,1.0,"The response correctly states the frame bursting definition, advantage and disadvantage.",training
4.2_LM_v1.0.1816,retrieval_no_feedback,retrieval,no_feedback,order_1,score,succeeded,1.0,1.0,0.0,0.0,0.0,0.0,3175,3207,22150,1,,1.0,The response answers all three parts of the question correctly.,training
4.2_LM_v1.0.881,retrieval_no_feedback,retrieval,no_feedback,order_1,score,succeeded,1.0,1.0,0.0,0.0,0.0,0.0,3333,3365,15050,1,,1.0,"The response is correct as it correctly explains the concept of frame bursting, its advantage and disadvantage.",training
4.2_LM_v1.0.1447,amem_no_feedback,amem,no_feedback,order_3,score,succeeded,1.0,1.0,0.0,0.0,0.0,0.0,6962,7000,16257,1,,1.0,The response correctly answers all three parts of the question.,training
